gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
2,AT,71,6,4,2,3,6,5,1,5,322,3,1,5,2,3,1,1,1,3
1,AT,58,9,6,2,3,3,6,1,9,720,3,4,4,3,3,2,3,3,7
1,AT,53,7,88,1,3,7,4,1,7,322,3,1,4,2,3,1,3,2,77
2,AT,54,7,7,3,3,3,5,1,10,313,2,2,3,4,2,3,1,3,7
2,AT,65,9,5,2,3,1,1,1,8,322,5,3,5,4,4,3,3,2,6
2,AT,29,8,5,1,3,6,4,1,8,322,2,3,3,3,2,2,3,88,77
2,AT,29,9,5,1,3,7,2,2,10,322,2,1,4,2,1,1,3,1,1
2,AT,67,9,5,3,2,5,6,2,8,322,1,1,3,1,2,1,3,1,7
1,AT,69,8,6,2,3,2,1,1,6,322,4,2,4,4,3,2,4,2,77
1,AT,25,8,5,3,3,2,6,2,8,322,3,2,2,3,5,2,2,3,6
1,AT,44,8,5,2,3,2,4,2,8,423,1,1,4,1,3,1,3,1,8
2,AT,70,10,0,2,3,6,6,3,10,322,2,1,4,2,1,2,2,1,3
2,AT,61,7,6,4,2,6,1,2,7,113,3,3,5,3,3,3,2,1,2
2,AT,64,5,77,3,2,2,6,3,5,212,4,3,4,3,2,3,3,1,1
1,AT,56,5,5,1,3,2,3,3,9,620,1,3,4,2,2,6,1,2,8
1,AT,71,9,5,3,3,7,4,3,9,212,5,2,5,5,2,2,2,3,2
1,AT,74,8,6,2,3,6,4,2,8,313,2,2,3,2,2,2,2,2,8
2,AT,19,8,88,2,3,2,1,1,8,212,3,1,3,4,4,3,4,3,77
1,AT,48,8,8,3,3,4,6,1,8,422,2,4,4,3,2,2,3,2,88
2,AT,39,8,6,2,3,7,6,2,8,422,3,3,4,2,2,1,3,1,4
1,AT,69,8,3,1,3,2,1,1,9,423,3,3,4,4,3,2,2,2,5
1,AT,81,8,6,3,2,2,6,2,8,5555,3,2,4,3,3,3,3,2,2
2,AT,80,10,5,3,1,4,1,1,10,322,1,3,3,1,1,1,3,1,3
2,AT,34,5,2,3,3,6,6,2,5,620,3,2,6,2,2,2,2,2,2
2,AT,81,8,6,2,2,7,6,2,8,322,4,3,4,3,3,2,3,2,3
1,AT,57,7,5,1,3,7,4,1,7,322,3,2,4,2,4,2,2,3,77
2,AT,30,8,3,1,3,2,6,1,8,313,2,4,3,3,3,2,4,2,2
2,AT,70,7,5,3,1,3,6,1,8,610,2,3,4,2,1,1,4,1,6
2,AT,77,9,8,3,3,3,6,2,9,322,3,1,6,3,2,1,3,2,88
2,AT,66,7,2,1,3,4,4,2,7,322,2,3,3,4,1,2,3,1,2
1,AT,54,8,5,2,3,6,4,1,8,322,1,1,1,3,1,3,1,2,77
1,AT,68,10,7,1,3,7,4,1,9,322,2,3,3,2,5,1,2,1,4
2,AT,70,7,4,3,2,1,1,1,8,313,2,3,4,3,3,2,3,1,3
2,AT,53,8,4,2,3,7,6,2,9,322,4,2,5,3,5,2,2,3,3
1,AT,52,8,5,2,3,2,4,2,7,423,4,1,5,1,4,1,4,1,7
1,AT,76,10,5,2,2,3,4,1,10,322,6,3,6,5,2,2,2,2,7
2,AT,77,8,6,2,2,7,6,1,8,610,3,4,6,4,4,3,2,2,5
2,AT,40,7,88,2,3,6,6,2,7,212,4,3,4,2,1,4,3,3,2
2,AT,50,10,4,1,3,4,6,3,10,422,3,2,4,3,3,3,3,2,10
2,AT,60,10,6,2,3,3,2,3,5,322,1,1,4,4,2,1,1,1,2
2,AT,73,6,6,2,3,2,4,2,7,422,2,1,3,4,2,2,1,2,77
1,AT,65,6,4,3,1,1,1,2,6,322,3,2,3,3,4,3,4,2,6
1,AT,58,9,5,2,3,1,1,1,9,620,2,2,2,2,3,4,4,3,9
1,AT,89,10,3,1,3,3,6,2,10,423,2,3,3,4,2,2,3,4,4
1,AT,48,8,9,1,3,1,1,2,1,423,1,3,3,2,1,2,4,3,77
2,AT,84,8,5,3,1,4,6,3,10,322,5,2,5,5,5,2,3,2,3
2,AT,41,8,5,3,3,6,6,1,8,322,1,1,3,1,1,1,2,1,9
2,AT,86,8,5,3,2,3,6,1,9,212,4,4,4,4,4,2,2,2,2
2,AT,60,8,7,3,2,5,5,1,8,322,3,88,4,5,4,3,2,4,6
1,AT,61,10,5,2,3,3,5,1,9,322,3,2,4,1,3,88,88,2,3
1,AT,51,7,77,2,3,1,1,2,7,322,2,2,3,2,2,2,3,2,4
1,AT,36,9,3,1,3,4,2,1,9,322,2,1,3,1,1,1,5,1,7
2,AT,40,3,5,1,3,2,6,2,3,720,2,3,4,2,1,1,1,2,77
2,AT,57,6,6,3,2,7,1,2,7,322,5,4,6,6,3,1,2,2,2
1,AT,75,9,77,2,3,2,6,1,10,322,3,2,2,3,2,2,1,1,6
2,AT,90,7,4,3,2,7,6,2,7,212,4,3,5,5,3,3,3,1,2
1,AT,65,9,1,1,3,2,4,1,9,720,4,4,6,4,2,2,3,1,6
1,AT,45,8,7,4,3,3,6,2,5,322,2,3,5,3,2,2,1,1,77
2,AT,47,7,5,1,3,2,4,1,3,322,2,2,3,1,2,1,2,1,6
2,AT,26,6,2,2,2,2,1,2,6,313,3,1,3,4,2,1,4,1,1
2,AT,75,9,77,3,2,6,6,1,8,113,5,5,5,5,4,5,2,4,2
1,AT,35,6,5,2,3,4,2,2,6,322,4,2,4,2,3,2,2,3,3
2,AT,52,5,7,2,3,2,2,1,6,322,3,2,2,2,1,2,2,2,77
2,AT,28,9,5,1,3,4,6,1,10,322,2,1,6,1,2,1,1,1,6
1,AT,56,5,5,2,3,1,4,2,7,520,2,2,1,2,2,3,1,2,77
1,AT,67,3,4,4,2,3,4,1,2,322,2,4,5,4,2,2,2,2,4
2,AT,63,3,3,3,2,6,4,2,5,520,2,3,77,2,2,2,3,2,8
2,AT,81,7,88,3,2,7,6,2,6,322,2,2,4,4,4,2,2,88,77
1,AT,64,8,1,2,3,2,1,1,8,313,2,3,5,2,1,2,2,3,77
2,AT,51,8,5,2,3,5,6,1,9,313,1,1,3,1,2,1,2,1,8
2,AT,21,7,5,1,3,7,6,1,7,322,3,3,2,2,3,2,4,3,4
2,AT,66,8,4,3,3,3,5,2,8,610,2,2,4,2,1,1,4,2,8
2,AT,17,9,5,1,3,7,6,1,10,213,5,1,6,1,1,1,1,1,88
1,AT,18,8,5,1,3,6,6,1,9,212,3,2,2,2,1,3,4,3,88
